classificação;arquivo;pergunta;alternativa correta;alternativa llm;acertou;;;
PlanoEnsino;INF01202.pdf;"Na disciplina de Algoritmos e Programação - CIC, qual o peso da prova P2 na média final? A) 0,15; B) 0,3; C) 0,5; D) 0,2; E) 0,4;";E;E;sim;;;
PlanoEnsino;INF01203.pdf;"Na disciplina de Estruturas de Dados, qual o percentual da nota final correspondente a cada uma das três provas (P1, P2 e P3)? A) 25%; B) 20%; C) 30%; D) 15%; E) 10%;";A;A;sim;;;
PlanoEnsino;INF01209.pdf;"Em Fundamentos de Tolerância a Falhas, quantos pontos de bônus na média final recebe o aluno com 100% de frequência presencial? A) 1,0 ponto; B) 0,5 ponto; C) 0,2 ponto; D) 2,0 pontos; E) 0,1 ponto;";B;B;sim;;;
PlanoEnsino;INF05005.pdf;"Qual ferramenta computacional gratuita é recomendada para o apoio às atividades de Linguagens Formais e Autômatos N? A) Eclipse; B) VS Code; C) JFlap; D) DrRacket; E) Matlab;";C;C;sim;;;
PlanoEnsino;INF05008.pdf;"Na disciplina de Fundamentos de Algoritmos, qual o peso das Atividades Autônomas (T) no cálculo da média final? A) 0,35; B) 0,45; C) 0,50; D) 0,20; E) 0,10;";D;E;nao;;;
PlanoEnsino;INF05010.pdf;"Em Otimização Combinatória, como é calculada a nova média (m') após a prova de recuperação (nr)? A) m' = nr; B) m' = (nr + n4) / 2; C) m' = (2nr + n4) / 3; D) m' = (nr + 3n4) / 4; E) m' = (3nr + n4) / 4;";E;A;nao;;;
PlanoEnsino;INF05501.pdf;"Na disciplina de Teoria da Computação N, qual o peso atribuído à totalização das notas dos trabalhos (MT)? A) 0,4; B) 0,3; C) 0,5; D) 0,2; E) 0,1;";A;B;nao;;;
PlanoEnsino;INF05508.pdf;"No curso de Lógica para Computação, qual o valor percentual das Atividades Autônomas na composição da nota final? A) 30%; B) 20%; C) 50%; D) 40%; E) 10%;";B;B;sim;;;
PlanoEnsino;INF05512.pdf;"Em Teoria dos Grafos e Análise Combinatória, qual o peso da nota da 2ª prova no cálculo da nota m2? A) 0,5; B) 0,6; C) 0,8; D) 0,2; E) 0,4;";C;C;sim;;;
PlanoEnsino;INF05515.pdf;"Na disciplina de Complexidade de Algoritmos - B, qual o peso atribuído à Prova 3 na nota final? A) 3,5; B) 1,5; C) 1,0; D) 4,0; E) 2,0;";D;D;sim;;;
PlanoEnsino;INF05516.pdf;"Qual o peso do trabalho (T) realizado em grupo na nota final de Semântica Formal N? A) 0,40; B) 0,20; C) 0,25; D) 0,50; E) 0,30;";E;E;sim;;;
PlanoEnsino;MAT01032.pdf;"Em Cálculo Numérico A, qual o número máximo de encontros que podem ser realizados na modalidade a distância? A) 7 encontros; B) 3 encontros; C) 15 encontros; D) 10 encontros; E) 1 encontro;";A;D;nao;;;
PlanoEnsino;MAT01353.pdf;"Na disciplina de Cálculo e Geometria Analítica I - A, qual a pontuação do teste (T1) na Área 1? A) 7,0 pontos; B) 3,0 pontos; C) 5,0 pontos; D) 1,5 pontos; E) 10,0 pontos;";B;B;sim;;;
PlanoEnsino;MAT01354.pdf;"Em Cálculo e Geometria Analítica II - A, para ser aprovado, qual a nota mínima exigida em cada avaliação de área? A) 6,0; B) 5,0; C) 4,5; D) 7,0; E) 3,0;";C;A;nao;;;
PlanoEnsino;MAT01355.pdf;"Na disciplina de Álgebra Linear I - A, qual o peso da nota da prova de recuperação geral (R) na média final (MF)? A) 0,3; B) 0,4; C) 0,5; D) 0,6; E) 0,1;";D;B;nao;;;
PlanoEnsino;MAT01375.pdf;"Em Matemática Discreta B, se o aluno fizer o exame de recuperação, ele pode obter no máximo qual conceito se M >= 9,0? A) Conceito A; B) Conceito C; C) Conceito D; D) Conceito FF; E) Conceito B;";E;A;nao;;;
PlanoEnsino;MAT02219.pdf;"Na disciplina de Probabilidade e Estatística, qual o peso conjunto das três provas parciais na Nota Final? A) 80%; B) 20%; C) 50%; D) 60%; E) 100%;";A;A;sim;;;
PlanoEnsino;QUI99009.pdf;"Em Introdução ao Empreendedorismo e Inovação, qual o peso das atividades individuais desenvolvidas no Moodle? A) 50%; B) 30%; C) 20%; D) 10%; E) 75%;";B;C;nao;;;
PlanoEnsino;TRABALHO DE CONCLUSÃO DE CURSO.pdf;"Qual o tempo máximo destinado para a apresentação do TCC pelo aluno perante a banca? A) 15 minutos; B) 20 minutos; C) 30 minutos; D) 45 minutos; E) 60 minutos;";C;C;sim;;;
PlanoEnsino;INF01108.pdf;"Na disciplina de Arquitetura e Organização de Computadores I, o conceito ""B"" é dado quando a média MF está em qual faixa? A) MF >= 80%; B) 60% <= MF < 70%; C) MF >= 90%; D) 70% <= MF < 80%; E) MF < 60%;";D;D;sim;;;
PlanoEnsino;INF01147.pdf;"Em Compiladores, qual o valor máximo limitado para a Nota Mínima de Recuperação (NMR)? A) 6,0; B) 8,0; C) 5,0; D) 7,5; E) 10,0;";E;E;sim;;;
PlanoEnsino;MAT01354.pdf;"Em Cálculo e Geometria Analítica II - A, qual a média mínima (M) necessária para o conceito ""A""? A) M >= 9,0; B) M >= 8,0; C) M >= 7,5; D) M >= 9,5; E) M = 10,0;";A;A;sim;;;
PlanoEnsino;INF05005.pdf;"Para aprovação na recuperação de Linguagens Formais e Autômatos N, qual o aproveitamento mínimo exigido? A) 50%; B) 60%; C) 70%; D) 75%; E) 80%;";B;D;nao;;;
PlanoEnsino;INF01046.pdf;"Em Fundamentos de Processamento de Imagens, qual o peso da nota de participação (PA) na média geral? A) 0,2; B) 0,5; C) 0,1; D) 0,3; E) 0,4;";C;E;nao;;;
PlanoEnsino;INF01203.pdf;"Na disciplina de Estruturas de Dados, qual o percentual da nota final correspondente ao Trabalho Final (TF)? A) 10%; B) 25%; C) 20%; D) 15%; E) 50%;";D;E;nao;;;
PlanoEnsino;MAT01353.pdf;"Para não ser reprovado direto em Cálculo e Geometria Analítica I - A, as notas NA1 e NA2 devem ser no mínimo: A) 6,0; B) 5,0; C) 3,0; D) 4,5; E) 4,0;";E;E;sim;;;
PlanoEnsino;INF01142.pdf;"Em Sistemas Operacionais I N, como é calculada a Nota Mínima de Recuperação (NMR)? A) NMR = 12 - NF; B) NMR = 6 - NF; C) NMR = NF / 2; D) NMR = 10; E) NMR = 9 - NF;";A;A;sim;;;
PlanoEnsino;INF01113.pdf;"Qual o conceito atribuído para uma média final total inferior a 6,0 em Organização de Computadores B? A) Conceito FF; B) Conceito D; C) Conceito C; D) Conceito B; E) Recuperação;";B;B;sim;;;
PlanoEnsino;INF01202.pdf;"Em Algoritmos e Programação - CIC, qual o peso das atividades práticas (AP) na média final? A) 0,3; B) 0,4; C) 0,15; D) 0,2; E) 0,1;";C;C;sim;;;
PlanoEnsino;QUI99009.pdf;"Na disciplina de Introdução ao Empreendedorismo e Inovação, qual o peso da presença e participação? A) 10%; B) 30%; C) 50%; D) 20%; E) 40%;";D;D;sim;;;
PlanoEnsino;INF05515.pdf;"Qual o peso atribuído à nota das Atividades Autônomas (AA) em Complexidade de Algoritmos - B? A) 0,4; B) 0,3; C) 0,2; D) 0,05; E) 0,1;";E;E;sim;;;
